wavelength_nm,real,imag,abs_real,magnitude,real_normalized,imag_normalized
5.370000000000000000e+02,1.475058064563533389e+00,1.548588268996943171e-02,1.475058064563533389e+00,1.475139351517884556e+00,2.068497917421365309e-02,2.171610519150084825e-04
5.380000000000000000e+02,1.490675954611857978e+00,1.575762872097865447e-02,1.490675954611857978e+00,1.490759237610447485e+00,2.090399138678736279e-02,2.209717907104092401e-04
5.390000000000000000e+02,1.506500654226686997e+00,1.603504543339457147e-02,1.506500654226686997e+00,1.506585989536437742e+00,2.112590372355207385e-02,2.248620503935763726e-04
5.400000000000000000e+02,1.522535880227142480e+00,1.631827812799066524e-02,1.522535880227142480e+00,1.522623325967424446e+00,2.135076830606691747e-02,2.288338685408912627e-04
5.410000000000000000e+02,1.538785438027308272e+00,1.660747665456078354e-02,1.538785438027308272e+00,1.538875054241158002e+00,2.157863849827258360e-02,2.328893465203877818e-04
5.420000000000000000e+02,1.555253224306148319e+00,1.690279558254035794e-02,1.555253224306148319e+00,1.555345073034654746e+00,2.180956894393202422e-02,2.370306518844014657e-04
5.430000000000000000e+02,1.571943229775427664e+00,1.720439437914086933e-02,1.571943229775427664e+00,1.572037375135450166e+00,2.204361560544545323e-02,2.412600208675780419e-04
5.440000000000000000e+02,1.588859542049797957e+00,1.751243759537843281e-02,1.588859542049797957e+00,1.588956050315182944e+00,2.228083580409802658e-02,2.455797609955825771e-04
5.450000000000000000e+02,1.606006348623631341e+00,1.782709506040120254e-02,1.606006348623631341e+00,1.606105288310109902e+00,2.252128826180447088e-02,2.499922538101842289e-04
5.460000000000000000e+02,1.623387939959181292e+00,1.814854208454172793e-02,1.623387939959181292e+00,1.623489381913139962e+00,2.276503314441485903e-02,2.544999577166926169e-04
5.470000000000000000e+02,1.641008712691111260e+00,1.847695967154767971e-02,1.641008712691111260e+00,1.641112730182433754e+00,2.301213210665223677e-02,2.591054109601036008e-04
5.480000000000000000e+02,1.658873172952509467e+00,1.881253474046900090e-02,1.658873172952509467e+00,1.658979841771710095e+00,2.326264833875387253e-02,2.638112347366589560e-04
5.490000000000000000e+02,1.676985939827882355e+00,1.915546035770927108e-02,1.676985939827882355e+00,1.677095338387750045e+00,2.351664661489314898e-02,2.686201364479405790e-04
5.500000000000000000e+02,1.695351748938879410e+00,1.950593597977931873e-02,1.695351748938879410e+00,1.695463958380880820e+00,2.377419334346276072e-02,2.735349131050436979e-04
5.510000000000000000e+02,1.713975456168759015e+00,1.986416770732244222e-02,1.713975456168759015e+00,1.714090560474448743e+00,2.403535661930349815e-02,2.785584548908138038e-04
5.520000000000000000e+02,1.732862041531990860e+00,2.023036855101655734e-02,1.732862041531990860e+00,1.732980127639705215e+00,2.430020627796833019e-02,2.836937488886359009e-04
5.530000000000000000e+02,1.752016613195706451e+00,2.060475870999505660e-02,1.752016613195706451e+00,1.752137771122821874e+00,2.456881395211583941e-02,2.889438829867754951e-04
5.540000000000000000e+02,1.771444411660016316e+00,2.098756586346672837e-02,1.771444411660016316e+00,1.771568734631082220e+00,2.484125313013150690e-02,2.943120499678119760e-04
5.550000000000000000e+02,1.791150814104699229e+00,2.137902547625899347e-02,1.791150814104699229e+00,1.791278398685766104e+00,2.511759921708202684e-02,2.998015517933213061e-04
5.560000000000000000e+02,1.811141338910064569e+00,2.177938111905243848e-02,1.811141338910064569e+00,1.811272285149549299e+00,2.539792959811210463e-02,3.054158040945768003e-04
5.570000000000000000e+02,1.831421650360294029e+00,2.218888480412355146e-02,1.831421650360294029e+00,1.831556061936755020e+00,2.568232370440017703e-02,3.111583408807243822e-04
5.580000000000000000e+02,1.851997563538006153e+00,2.260779733746454481e-02,1.851997563538006153e+00,1.852135547915206626e+00,2.597086308179569897e-02,3.170328194766158206e-04
5.590000000000000000e+02,1.872875049419240323e+00,2.303638868820388416e-02,1.872875049419240323e+00,1.873016718008922554e+00,2.626363146226691134e-02,3.230430257032531282e-04
5.600000000000000000e+02,1.894060240178627064e+00,2.347493837631144109e-02,1.894060240178627064e+00,1.894205708511430553e+00,2.656071483829612959e-02,3.291928793146409182e-04
5.610000000000000000e+02,1.915559434715035092e+00,2.392373587963518219e-02,1.915559434715035092e+00,1.915708822620030505e+00,2.686220154036677438e-02,3.354864397057280112e-04
5.620000000000000000e+02,1.937379104408558650e+00,2.438308106138528664e-02,1.937379104408558650e+00,1.937532536201896916e+00,2.716818231769455028e-02,3.419279119070869595e-04
5.630000000000000000e+02,1.959525899120344139e+00,2.485328461925432122e-02,1.959525899120344139e+00,1.959683503803550053e+00,2.747875042236399071e-02,3.485216528829990397e-04
