observable,normalized_RMSE,correlation,phase_deg,status
Re,0.49130269469301585,-0.029178513346183786,90,DIAGNOSTIC ONLY
abs_Re,0.3583312336345216,0.09561271338999845,90,DIAGNOSTIC ONLY
Re,0.48909456488910236,-0.03554023837172126,91,DIAGNOSTIC ONLY
abs_Re,0.3554456762223394,0.1051350409526041,91,DIAGNOSTIC ONLY
Re,0.48700763488393484,-0.04188511609320461,92,DIAGNOSTIC ONLY
abs_Re,0.35214698592144716,0.11412202494363126,92,DIAGNOSTIC ONLY
Re,0.4850347276261966,-0.04821123083393152,93,DIAGNOSTIC ONLY
abs_Re,0.3487363941552168,0.12224657290212228,93,DIAGNOSTIC ONLY
Re,0.48305468108374655,-0.05451668908151188,94,DIAGNOSTIC ONLY
abs_Re,0.345181539736383,0.12992311846924268,94,DIAGNOSTIC ONLY
Re,0.48113668117841984,-0.06079961989540593,95,DIAGNOSTIC ONLY
abs_Re,0.34150842880215015,0.1373993951176801,95,DIAGNOSTIC ONLY
Re,0.4793218944497816,-0.06705817526398221,96,DIAGNOSTIC ONLY
abs_Re,0.3377924160159513,0.14476027419139967,96,DIAGNOSTIC ONLY
Re,0.4776044955434823,-0.07329053041214831,97,DIAGNOSTIC ONLY
abs_Re,0.33404652358939235,0.1520517127183669,97,DIAGNOSTIC ONLY
Re,0.47592635991115134,-0.07949488406071238,98,DIAGNOSTIC ONLY
abs_Re,0.33026083216635765,0.1593051847467002,98,DIAGNOSTIC ONLY
Re,0.4742298853125297,-0.08566945863874972,99,DIAGNOSTIC ONLY
abs_Re,0.3264969843598451,0.16646719304305432,99,DIAGNOSTIC ONLY
Re,0.4726230123670305,-0.09181250045033898,100,DIAGNOSTIC ONLY
abs_Re,0.3228481585139741,0.17352548689379882,100,DIAGNOSTIC ONLY
Re,0.4711009059290428,-0.09792227979712714,101,DIAGNOSTIC ONLY
abs_Re,0.3193114924031336,0.18049743748431632,101,DIAGNOSTIC ONLY
Re,0.4696591011090728,-0.10399709105826413,102,DIAGNOSTIC ONLY
abs_Re,0.3158780107709141,0.18738824263673673,102,DIAGNOSTIC ONLY
Re,0.4682934725252198,-0.11003525272932418,103,DIAGNOSTIC ONLY
abs_Re,0.3125492718267227,0.19423534248634838,103,DIAGNOSTIC ONLY
Re,0.466840240657657,-0.11603510742189377,104,DIAGNOSTIC ONLY
abs_Re,0.30925277574324705,0.20102530508830738,104,DIAGNOSTIC ONLY
Re,0.4654613930520295,-0.12199502182557298,105,DIAGNOSTIC ONLY
abs_Re,0.3060559452616779,0.20775854935050359,105,DIAGNOSTIC ONLY
Re,0.4641540617527016,-0.12791338663418458,106,DIAGNOSTIC ONLY
